"RegionName","Regioncd"
"North East (England)","UKC"
"North West (England)","UKD"
"Yorkshire and The Humber","UKE"
"East Midlands (England)","UKF"
"West Midlands (England)","UKG"
"East of England","UKH"
"London","UKI"
"South East (England)","UKJ"
"South West (England)","UKK"
"Wales","UKL"
"Scotland","UKM"
"Northern Ireland","UKN"
